Name,Review Date,Airline,Verified,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended
T Jackson,10/13/2017,Emirates,TRUE,Business,17-Oct,Melbourne to Cape Town via Dubai,Business Class,4,1,3,4,4,8,yes
W Jones,10/11/2017,Emirates,FALSE,Family Leisure,17-Oct,Melbourne to Auckland,Business Class,5,2,3,5,3,3,yes
Rama Naidoo,10/10/2017,Emirates,FALSE,Couple Leisure,17-Oct,Newcastle to Melbourne via Dubai,Economy Class,4,4,3,4,3,2,no
L Pearce,10/9/2017,Emirates,FALSE,Solo Leisure,17-Oct,Mumbai to London via Dubai,First Class,3,5,2,5,4,9,yes
Peter Malkin,10/8/2017,Emirates,TRUE,Couple Leisure,17-Oct,London to Ahmedabad via Dubai,Business Class,5,3,5,5,4,10,yes
Kevin Barrance,10/7/2017,Emirates,FALSE,Business,17-Oct,Istanbul to Dubai,Economy Class,3,2,3,4,5,8,yes
P Halish,10/6/2017,Emirates,TRUE,Family Leisure,17-Oct,Dubai to Islamabad,Economy Class,5,3,2,5,1,1,no
B Latali,10/5/2017,Emirates,TRUE,Business,17-Oct,Budapest to Jakarta via Dubai,Economy Class,5,2,4,4,5,10,yes
Ammad Mohsin,10/3/2017,Emirates,TRUE,Solo Leisure,17-Sep,Glasgow to Brisbane via Dubai,Economy Class,1,5,5,4,5,9,yes
Adi Satriyo,10/3/2017,Emirates,TRUE,Solo Leisure,17-Sep,Johannesburg to Mumbai via Dubai,Economy Class,5,5,1,4,3,8,yes
Dan Holmes,10/2/2017,Emirates,TRUE,Family Leisure,17-Oct,Dubai to Sydney via Bangkok,Economy Class,3,4,5,5,2,1,no
P Shakrani,10/2/2017,Emirates,TRUE,Business,17-Sep,Dubai to Amman,Economy Class,3,5,4,3,2,2,no
Robert Konig,9/27/2017,Emirates,FALSE,Couple Leisure,17-Sep,Dubai to London Heathrow,Business Class,2,4,3,4,4,7,no
Ahmed Hamza,9/27/2017,Emirates,TRUE,Solo Leisure,17-Aug,Yangon to Dubai,Economy Class,2,4,5,4,2,1,no
Mark Ellwood,9/25/2017,Emirates,FALSE,Solo Leisure,17-Sep,Brisbane to Singapore,Business Class,4,1,2,4,4,9,yes
Mark Ellwood,9/25/2017,Emirates,FALSE,Solo Leisure,17-Sep,Dublin to Denpasar via Dubai,Business Class,4,5,5,5,4,10,yes
A Rogers,9/25/2017,Emirates,FALSE,Couple Leisure,17-Sep,Manchester to Mauritius via Dubai,Economy Class,3,2,5,4,4,6,yes
C Hadden,9/18/2017,Emirates,TRUE,Business,17-Sep,London to Bangkok via Dubai,Economy Class,1,4,5,3,4,6,no
Mo Ghoorun,9/18/2017,Emirates,TRUE,Couple Leisure,17-Jul,Perth to Rome via Dubai,Economy Class,1,4,3,5,4,10,yes
Glen Warden,9/13/2017,Emirates,TRUE,Business,17-Sep,Barcelona to Dubai,Business Class,4,5,2,5,3,4,no
A Turren,9/7/2017,Emirates,FALSE,Family Leisure,17-Sep,San Francisco to Chenna via Dubai,Economy Class,4,1,5,5,4,9,yes
U Andrews,9/6/2017,Emirates,TRUE,Solo Leisure,17-Sep,Dubai to Manchester,Economy Class,5,2,5,3,2,3,no
J Janarna,9/1/2017,Emirates,FALSE,Family Leisure,17-Aug,Cape Town to London via Dubai,Economy Class,3,5,5,2,5,5,yes
Mohammad Faizal,9/1/2017,Emirates,TRUE,Solo Leisure,17-Aug,Mumbai to Dubai,Business Class,4,5,4,5,5,10,yes
M Laneer,8/28/2017,Emirates,TRUE,Solo Leisure,17-Aug,Chicago to Chennai via Dubai,Economy Class,4,4,5,5,4,9,yes
Ashutosh Sahu,8/25/2017,Emirates,FALSE,Family Leisure,17-May,Bangkok to London via Dubai,Economy Class,4,1,3,3,4,7,yes
K Marnuman,8/19/2017,Emirates,TRUE,Solo Leisure,17-Aug,Bangkok to Hong Kong,Economy Class,1,1,3,3,4,5,no
Darren Sharp,8/18/2017,Emirates,TRUE,Family Leisure,17-Aug,Johannesburg to Dubai,Economy Class,5,5,2,5,4,3,no
John Duffus,8/17/2017,Emirates,TRUE,Business,17-Aug,Perth to Manchester via Dubai,Economy Class,4,4,5,5,5,10,yes
S Smit,8/15/2017,Emirates,FALSE,Family Leisure,17-Apr,Birmingham to Sydney via Dubai / Bangkok,Economy Class,5,5,1,4,5,10,yes
Deborah Pinchon,8/15/2017,Emirates,FALSE,Solo Leisure,17-Aug,Gatwick to Colombo via Dubai,Business Class,3,3,3,5,5,10,yes
Louise Wakelin,8/14/2017,Emirates,FALSE,Couple Leisure,17-Aug,Cairo to Dubai,Economy Class,5,5,2,4,3,5,no
T Weller,8/13/2017,Emirates,FALSE,Couple Leisure,17-Jul,Singapore to London via Dubai,Economy Class,2,5,5,2,4,10,yes
 M Fassamah,8/12/2017,Emirates,FALSE,Family Leisure,17-Aug,Newcastle to Trivandrum via Dubai,Business Class,4,4,1,5,2,3,no
J Peck,8/11/2017,Emirates,TRUE,Couple Leisure,17-Aug,Bangkok to Düsseldorf via Dubai,Economy Class,5,3,5,5,4,5,no
Richard Callis,8/7/2017,Emirates,TRUE,Solo Leisure,17-Aug,Copenhagen to Mauritius via Dubai,Economy Class,5,1,5,3,5,10,yes
Jelle Bosma,8/4/2017,Emirates,FALSE,Solo Leisure,17-Aug,Tokyo Narita to Casablanca via Dubai,Economy Class,5,4,3,4,5,7,yes
Charlotte Wadström,8/4/2017,Emirates,TRUE,Family Leisure,17-Jul,Tokyo to Zagreb via Dubai,Economy Class,2,4,1,3,4,9,yes
Assafi Ismail,8/4/2017,Emirates,FALSE,Family Leisure,17-Jul,Bangkok to Dubai,Business Class,1,3,4,5,5,9,yes
T Lantia,8/2/2017,Emirates,FALSE,Business,17-Jun,Sydney to Bangkok,Economy Class,4,4,3,5,1,2,no
Louis Maripolsky,8/2/2017,Emirates,FALSE,Solo Leisure,17-Jul,Seattle to Chennai via Dubai,Business Class,5,5,2,5,3,4,no
M Reave,8/2/2017,Emirates,FALSE,Solo Leisure,17-Jul,Mumbai to Vienna via Dubai,First Class,5,2,4,3,4,10,yes
K Aprahamian,7/29/2017,Emirates,TRUE,Solo Leisure,17-Jul,Dubai to Casablanca,Economy Class,5,2,4,4,4,5,no
Souvik Das,7/25/2017,Emirates,TRUE,Business,17-Jun,Dubai to Singapore,Economy Class,5,5,2,5,4,9,yes
Nicolas Di Vara,7/24/2017,Emirates,TRUE,Business,17-Jul,Christchurch to Sydney,Business Class,5,5,2,5,4,9,yes
L Fousel,7/23/2017,Emirates,TRUE,Business,17-Jul,Dubai to New York JFK,Economy Class,4,1,2,4,2,4,no
L Huang,7/21/2017,Emirates,FALSE,Solo Leisure,17-Jul,Budapest to Kuala Lumpur via Dubai,Business Class,3,5,5,5,4,7,yes
Glen Pankhurst,7/19/2017,Emirates,FALSE,Business,17-Jul,Sydney to Christchurch,Economy Class,4,3,4,4,5,1,no
Andrei Rus,7/18/2017,Emirates,FALSE,Family Leisure,17-May,Dubai to Kuala Lumpur,Economy Class,4,5,1,5,5,10,yes
L Parker,7/17/2017,Emirates,TRUE,Solo Leisure,17-Jul,Ahmedabad to Los Angeles via Dubai,Business Class,5,1,5,2,5,7,yes
S Ali,7/17/2017,Emirates,TRUE,Family Leisure,17-Jul,Johannesburg to Larnaca via Dubai,Economy Class,3,5,3,5,2,3,no
Rumin Shah,7/17/2017,Emirates,TRUE,Business,17-Jun,Dubai to Sydney,Economy Class,5,4,4,4,1,1,no
P Leventis,7/16/2017,Emirates,TRUE,Solo Leisure,17-Jun,Munich to Bangkok via Dubai,First Class,5,2,2,5,5,10,yes
H Rearden,7/16/2017,Emirates,TRUE,Couple Leisure,17-Jul,Singapore to Melbourne,Economy Class,5,5,1,5,3,3,no
R Mallner,7/13/2017,Emirates,FALSE,Couple Leisure,17-Jul,London to Melbourne via Dubai,Economy Class,2,3,5,2,2,2,no
M Norton,7/10/2017,Emirates,TRUE,Couple Leisure,17-Jun,Bangkok to Manchester via Dubai,Business Class,4,2,3,3,3,4,no
P Coren,7/6/2017,Emirates,TRUE,Family Leisure,17-May,Munich to Durban via Dubai,Business Class,5,5,4,3,2,4,no
J Pallow,7/5/2017,Emirates,FALSE,Couple Leisure,17-May,Brisbane to Dubai,Economy Class,3,5,1,5,3,5,no
Z Myklebust,7/5/2017,Emirates,TRUE,Solo Leisure,17-Jul,Bahrain to Nairobi via Dubai,Business Class,5,5,4,4,3,7,yes
Mohammad Faizal,7/5/2017,Emirates,FALSE,Solo Leisure,17-Jun,Dubai to Taipei,Business Class,3,5,5,4,3,6,no
Allan Thornton,7/4/2017,Emirates,TRUE,Couple Leisure,17-Jun,Singapore to Colombo,Economy Class,3,5,1,5,1,1,no
Stephan River,7/4/2017,Emirates,FALSE,Business,17-Jun,Glasgow to Auckland via Dubai,Economy Class,5,4,4,5,2,6,yes
Theertha Pandukabhaya,7/3/2017,Emirates,FALSE,Solo Leisure,17-Jul,Madrid to Melbourne via Dubai,Economy Class,5,3,4,5,3,3,no
Matthew Watson,6/29/2017,Emirates,FALSE,Couple Leisure,17-Jun,Athens to Dubai,Economy Class,4,2,3,5,5,10,yes
A Carragher,6/29/2017,Emirates,TRUE,Solo Leisure,17-Jun,Dubai to Dublin,First Class,4,5,5,5,5,10,yes
John Curtain,6/27/2017,Emirates,TRUE,Solo Leisure,17-Jun,Bangkok to Dubai,Economy Class,3,2,1,3,3,7,yes
John Curtain,6/27/2017,Emirates,TRUE,Solo Leisure,17-May,Melbourne to Singapore,Economy Class,5,3,3,4,3,8,yes
John Curtain,6/27/2017,Emirates,TRUE,Solo Leisure,17-May,Bangalore to San Francisco via Dubai,Economy Class,3,3,2,4,3,7,yes
John Curtain,6/27/2017,Emirates,FALSE,Solo Leisure,17-Apr,Dubai to London Heathrow,Economy Class,1,5,2,1,3,8,yes
N Verdi,6/25/2017,Emirates,TRUE,Couple Leisure,17-Jan,Birmingham to Dubai,Economy Class,5,4,5,5,1,1,no
Salman Moghimi,6/22/2017,Emirates,TRUE,Solo Leisure,17-Mar,Auckland to Sydney,Business Class,4,5,5,5,5,10,yes
C Kitts,6/21/2017,Emirates,TRUE,Business,17-Jun,Manchester to Dubai,Economy Class,5,5,5,5,3,2,no
L Pearce,6/21/2017,Emirates,FALSE,Solo Leisure,17-Jun,Dubai to Hamburg,First Class,4,4,1,5,5,9,yes
W Peters,6/14/2017,Emirates,TRUE,Family Leisure,17-Jun,Dubai to Singapore,Economy Class,5,2,3,2,3,5,no
E Kamini,6/9/2017,Emirates,FALSE,Family Leisure,17-Apr,Mauritius to London via Dubai,Economy Class,4,5,3,3,5,10,yes
L Kalyihav,6/8/2017,Emirates,TRUE,Solo Leisure,16-Oct,Amsterdam to Tokyo Narita via Dubai,Economy Class,5,4,4,4,1,1,no
Claire Simpson,6/7/2017,Emirates,FALSE,Couple Leisure,17-Jun,Malta to Larnaca,Business Class,3,2,1,1,2,2,no
T Neyrinck,6/7/2017,Emirates,TRUE,Business,17-Jun,Auckland to Sydney,Business Class,4,5,3,5,5,10,yes
Lars Bolander,6/2/2017,Emirates,FALSE,Solo Leisure,17-Apr,Johannesburg to Newcastle via Dubai,Business Class,5,5,3,4,4,9,yes
L Pearce,6/1/2017,Emirates,FALSE,Solo Leisure,17-May,Chennai to Adelaide via Dubai,Business Class,2,2,4,3,4,8,yes
H Farnon,5/29/2017,Emirates,FALSE,Couple Leisure,17-Apr,Mumbai to Boston via Dubai,Economy Class,3,2,1,5,2,1,no
Manish Vasan,5/27/2017,Emirates,FALSE,Solo Leisure,16-Jul,Amsterdam to Muscat via Dubai,Economy Class,5,2,4,5,3,5,no
Bhavin Ajay Dholakia,5/24/2017,Emirates,FALSE,Solo Leisure,17-Jan,Melbourne to Singapore,Economy Class,4,5,3,5,4,9,yes
T Neyrinck,5/23/2017,Emirates,TRUE,Business,17-May,Paris to Bangkok via Dubai / Kuala Lumpur,Business Class,4,4,3,5,5,9,yes
Larry Schur,5/21/2017,Emirates,TRUE,Couple Leisure,17-Apr,Taipei to Budapest via Dubai,Business Class,5,1,4,5,4,10,yes
Leong Engkit,5/16/2017,Emirates,TRUE,Business,16-Sep,Manchester to Dubai,Business Class,2,4,1,4,3,8,yes
George Adler,5/15/2017,Emirates,TRUE,Couple Leisure,17-May,Khartoum to Rome via Dubai,Economy Class,4,3,1,4,5,10,yes
Mohammed Gother,5/13/2017,Emirates,FALSE,Family Leisure,17-May,Kuala Lumpur to Milan via Dubai,Economy Class,3,2,1,3,5,10,yes
F Daresa,5/12/2017,Emirates,FALSE,Solo Leisure,17-Apr,Dubai to Warsaw,Economy Class,2,3,2,5,5,9,no
Andy Tan,5/11/2017,Emirates,TRUE,Business,17-Apr,Sydney to Copenhagen via Dubai,Business Class,2,2,3,4,4,7,yes
Ana Karashina,5/10/2017,Emirates,TRUE,Solo Leisure,17-May,Brussels to Brisbane via Dubai,Economy Class,4,5,2,5,1,1,no
A Vitolins,5/4/2017,Emirates,TRUE,Couple Leisure,17-Apr,Bangkok to Paris CDG via Dubai,Economy Class,4,3,4,5,3,2,no
T Neyrinck,5/1/2017,Emirates,FALSE,Business,17-Apr,Amsterdam to Bangalore via Dubai,Business Class,2,4,3,1,5,9,yes
Michel Perrin,4/28/2017,Emirates,FALSE,Solo Leisure,17-Apr,Amsterdam to Dubai,Business Class,3,1,5,5,3,5,yes
S Lamire,4/27/2017,Emirates,FALSE,Couple Leisure,17-Apr,Gatwick to Perth via Dubai,Economy Class,2,5,3,4,3,4,yes
B Vorgen,4/26/2017,Emirates,FALSE,Family Leisure,17-Apr,Dubai to Bangkok,Economy Class,5,5,4,5,1,1,no
M Danoube,4/24/2017,Emirates,TRUE,Solo Leisure,16-Nov,Dusseldorf to Shanghai via Dubai,Economy Class,4,1,5,3,5,10,yes
W Gujer,4/24/2017,Emirates,FALSE,Solo Leisure,17-Apr,Sydney to Amsterdam via Dubai,Business Class,2,4,1,5,3,4,no
H Calavo,4/23/2017,Emirates,FALSE,Business,17-Apr,Dubai to Düsseldorf,Business Class,5,4,3,2,3,5,yes
C Helpenstein,4/23/2017,Emirates,FALSE,Solo Leisure,16-Sep,Bangkok to New York via Dubai,Economy Class,4,1,2,3,1,2,no
S Clark,4/22/2017,Emirates,FALSE,Couple Leisure,17-Apr,Hong Kong to Newcastle via Dubai,Business Class,3,4,1,1,5,9,yes
T Lewis,4/22/2017,Emirates,FALSE,Solo Leisure,17-Feb,Heathrow to Brisbane via Dubai,Economy Class,3,1,2,4,1,3,no
Matt O'Shaughnessy,4/20/2017,Emirates,TRUE,Solo Leisure,17-Apr,Bangalore to Budapest via Dubai,Business Class,3,3,4,2,4,10,yes
Paul Field,4/20/2017,Emirates,FALSE,Couple Leisure,17-Feb,Dubai to Lisbon,Economy Class,4,2,5,5,4,2,no
Nikhil Rajendrakumar,4/19/2017,Emirates,TRUE,Business,16-Nov,Lisbon to Dubai,Economy Class,3,2,1,2,4,8,yes
Roy Carpenter,4/19/2017,Emirates,TRUE,Couple Leisure,17-Apr,Delhi to Amsterdam via Dubai,Economy Class,3,5,5,5,2,4,yes
Roy Carpenter,4/19/2017,Emirates,TRUE,Couple Leisure,17-Apr,ZRH to CEB via DXB,Economy Class,1,5,3,5,4,10,yes
Savi Mull,4/16/2017,Emirates,TRUE,Business,17-Apr,Hong Kong to Cairo via Dubai,Economy Class,5,3,2,3,5,8,yes
Andrew Kahr,4/15/2017,Emirates,TRUE,Solo Leisure,17-Mar,CMB to LYS via DXB,Economy Class,5,3,3,5,1,1,no
Francis Wong,4/14/2017,Emirates,TRUE,Solo Leisure,17-Apr,Cape Town to London via Dubai,First Class,3,2,2,1,4,9,yes
B Daltier,4/8/2017,Emirates,TRUE,Solo Leisure,16-May,Milan to New York JFK,Business Class,4,5,4,3,1,1,no
Larry Hatter,4/8/2017,Emirates,TRUE,Couple Leisure,17-Mar,Hong Kong to Arla via Arlanda Sweden,Economy Class,4,4,2,4,3,4,no
B Sheardon,4/8/2017,Emirates,FALSE,Couple Leisure,17-Apr,Perth to Glasgow via Dubai,Business Class,2,1,1,4,4,10,yes
Tim Patrick,4/3/2017,Emirates,FALSE,Solo Leisure,17-Apr,Bangkok to Hong Kong,Economy Class,5,3,5,5,5,10,yes
Ian Brown,4/1/2017,Emirates,FALSE,Couple Leisure,17-Mar,Dublin to Tokyo via Dubai,Business Class,5,4,5,5,5,10,yes
P Anderrs,3/30/2017,Emirates,TRUE,Solo Leisure,17-Mar,Seychelles to Lisbon via Dubai,Economy Class,3,1,4,5,4,5,yes
Roger Fletcher,3/27/2017,Emirates,TRUE,Couple Leisure,17-Mar,LGW to ISB via DXB,First Class,1,1,4,5,5,10,yes
Paulo Vitoriano,3/26/2017,Emirates,FALSE,Couple Leisure,17-Mar,Warsaw to Bangkok via Dubai,Economy Class,1,5,5,3,3,3,no
M Baig,3/25/2017,Emirates,FALSE,Family Leisure,17-Mar,Paris to Bangkok via Dubai,Economy Class,5,4,4,5,4,6,yes
T Jakesik,3/20/2017,Emirates,FALSE,Couple Leisure,17-Mar,Karachi to London via Dubai,Business Class,5,3,2,5,2,4,no
Michel Perrin,3/16/2017,Emirates,FALSE,Solo Leisure,17-Mar,Washington to Manila via Dubai,First Class,5,5,1,4,5,9,yes
Asya Jalil,3/15/2017,Emirates,FALSE,Family Leisure,17-Mar,Gatwick to Manila via Dubai,Business Class,3,1,5,3,1,5,no
S Marrenos,3/12/2017,Emirates,FALSE,Family Leisure,17-Feb,Dubai to Manchester,Economy Class,3,4,2,3,1,1,no
P Gamillan,3/10/2017,Emirates,TRUE,Solo Leisure,17-Mar,Amsterdam to Bangkok via Dubai,Economy Class,5,2,4,4,3,3,no
G Black,3/10/2017,Emirates,FALSE,Family Leisure,17-Mar,Taipei to London via Dubai,Business Class,4,1,2,5,5,10,yes
Dick van Kooten,3/9/2017,Emirates,FALSE,Couple Leisure,17-Feb,Boston to Kuwait via Dubai,Business Class,3,3,3,5,4,8,yes
Rohith Jayawardene,3/7/2017,Emirates,FALSE,Business,17-Feb,Muscat to Bangkok via Glasgow,Business Class,4,1,1,4,5,9,yes
R Mezino,3/4/2017,Emirates,FALSE,Solo Leisure,17-Feb,Manchester to Jakarta via Dubai,Economy Class,3,1,4,5,5,10,yes
D Gilden,3/3/2017,Emirates,TRUE,Solo Leisure,17-Mar,London to Dubai,Economy Class,4,1,4,5,1,1,no
Martin Halshaw,3/2/2017,Emirates,FALSE,Solo Leisure,17-Jan,Beirut to Dubai,Economy Class,1,5,3,5,4,7,yes
Kate Stopford,3/1/2017,Emirates,TRUE,Solo Leisure,16-Dec,Los Angeles to Delhi via Dubai,Economy Class,4,5,1,1,1,1,no
Abbas Ahmad,3/1/2017,Emirates,TRUE,Solo Leisure,17-Jan,Singapore to Melbourne,Economy Class,3,4,1,5,4,9,yes
B Rayler,3/1/2017,Emirates,TRUE,Family Leisure,17-Jan,Dubai to Dublin,Economy Class,3,4,3,4,3,6,no
P Tang,2/28/2017,Emirates,TRUE,Business,17-Feb,Dubai to Brisbane,Economy Class,5,3,1,4,2,4,no
B Graham,2/26/2017,Emirates,FALSE,Couple Leisure,17-Feb,Dubai to Manchester,Economy Class,1,5,3,4,5,10,yes
D Sawani,2/26/2017,Emirates,FALSE,Family Leisure,17-Feb,Phuket to Dubai,Economy Class,4,3,3,5,4,10,yes
Philip Browne,2/24/2017,Emirates,TRUE,Couple Leisure,16-Mar,Manchester to Phuket via Dubai,Business Class,2,3,3,5,3,7,no
Philip Browne,2/24/2017,Emirates,FALSE,Couple Leisure,17-Jan,Hong Kong to Bangkok,Business Class,4,1,1,5,2,6,no
Philip Browne,2/24/2017,Emirates,FALSE,Couple Leisure,17-Jan,Hong Kong to Bangkok,Business Class,3,2,4,5,3,7,no
L Foster,2/23/2017,Emirates,FALSE,Family Leisure,16-Oct,Hong Kong to Dubai,Economy Class,4,5,5,5,5,10,yes
John Duffus,2/22/2017,Emirates,TRUE,Business,17-Feb,Munich to Beijing via Dubai,Business Class,1,2,3,4,5,7,yes
S Peng,2/21/2017,Emirates,FALSE,Family Leisure,17-Jan,Larnaca to Malta,Economy Class,5,1,3,5,1,1,no
L Baxter,2/18/2017,Emirates,TRUE,Couple Leisure,17-Jan,New York to Male via Dubai,Economy Class,4,1,4,5,5,10,yes
D Graubard,2/18/2017,Emirates,TRUE,Solo Leisure,17-Feb,Dublin to Singapore via Dubai,Business Class,5,5,1,4,4,6,yes
C Leenam,2/17/2017,Emirates,TRUE,Couple Leisure,17-Feb,Dubai to London Heathrow,Economy Class,4,5,2,4,1,1,no
R Andrews,2/17/2017,Emirates,TRUE,Family Leisure,17-Feb,Newcastle to Bahrain via Dubai,Economy Class,5,2,3,3,4,5,no
M Dawson,2/17/2017,Emirates,FALSE,Couple Leisure,17-Jan,Seattle to Delhi via Dubai,Economy Class,5,4,4,5,5,9,yes
J Stafford,2/16/2017,Emirates,FALSE,Solo Leisure,17-Feb,London Heathrow to Dubai,Economy Class,4,3,4,5,4,4,no
Karanbir Singh,2/15/2017,Emirates,TRUE,Solo Leisure,17-Feb,Dubai to Zurich,Economy Class,3,2,3,5,1,1,no
E Tanabune,2/14/2017,Emirates,FALSE,Family Leisure,17-Feb,Colombo to Geneva via Dubai,Economy Class,4,5,5,5,1,1,no
H Brown,2/13/2017,Emirates,FALSE,Solo Leisure,17-Feb,Islamabad to Dubai,Economy Class,3,5,4,4,5,10,yes
Antonius Budi Tjahjono,2/13/2017,Emirates,FALSE,Business,17-Feb,Brisbane to London via Dubai,Economy Class,5,4,5,5,5,8,yes
Ahtisham Amjad Iqbal,2/10/2017,Emirates,TRUE,Family Leisure,17-Jan,Warsaw to Hanoi via Dubai,Economy Class,4,5,4,5,2,2,no
David Hooker,2/9/2017,Emirates,FALSE,Couple Leisure,17-Feb,Dubai to Manila,Business Class,1,5,1,3,4,8,yes
Glenn Standish,2/8/2017,Emirates,TRUE,Couple Leisure,17-Jan,Rome to Dubai,Economy Class,4,3,4,4,4,7,yes
S Hamell,2/6/2017,Emirates,TRUE,Solo Leisure,16-Dec,Christchurch to Sydney,Economy Class,4,1,5,1,2,2,no
F Renozzo,2/6/2017,Emirates,FALSE,Family Leisure,17-Jan,Glasgow to Bangkok via Dubai,Economy Class,4,2,4,5,5,10,yes
Alastair Finch,2/5/2017,Emirates,TRUE,Couple Leisure,17-Feb,Paris to Melbourne via Dubai,Business Class,2,5,3,4,2,4,no
N Sutherland,2/5/2017,Emirates,TRUE,Solo Leisure,17-Feb,Dubai to Beijing,Economy Class,3,1,4,5,4,7,yes
Tam Lyall,2/2/2017,Emirates,FALSE,Solo Leisure,17-Jan,Zurich to Muscat via Dubai,Economy Class,2,4,4,4,2,3,no
M Duplessis,2/1/2017,Emirates,FALSE,Business,17-Jan,Brisbane to Auckland,Business Class,4,1,5,3,2,2,no
H Becker,2/1/2017,Emirates,FALSE,Solo Leisure,17-Jan,London Heathrow to Dubai,Economy Class,3,4,5,4,5,10,yes
J Evans,1/30/2017,Emirates,TRUE,Solo Leisure,17-Jan,Gatwick to Perth via Dubai,Business Class,4,1,1,4,5,10,yes
Johann Ugarkovic,1/29/2017,Emirates,TRUE,Couple Leisure,17-Jan,Jakarta to Jeddah via Dubai,Economy Class,5,4,5,5,5,8,yes
Hilary Greenland,1/28/2017,Emirates,TRUE,Solo Leisure,17-Jan,Gatwick to Dubai,Business Class,5,5,2,2,1,1,no
W Landinati,1/28/2017,Emirates,TRUE,Family Leisure,16-Dec,RGN to MAN via DXB,Economy Class,4,2,4,3,4,7,yes
Hani Chelly,1/25/2017,Emirates,FALSE,Solo Leisure,17-Jan,DEL to LHR via DXB,Economy Class,4,1,4,5,1,2,no
G Lanner,1/23/2017,Emirates,FALSE,Couple Leisure,17-Jan,CPT to SYD via DXB,Business Class,4,1,3,5,5,9,yes
Kevin Barrance,1/23/2017,Emirates,FALSE,Business,17-Jan,LGW to BNE via DXB,Economy Class,4,1,5,4,5,9,yes
Richard Macaulay,1/20/2017,Emirates,FALSE,Couple Leisure,17-Jan,SAV to COK via DXB / JFK,Economy Class,3,1,5,5,2,1,no
David Hooker,1/16/2017,Emirates,FALSE,Couple Leisure,17-Jan,DXB to BOM,Business Class,4,2,4,2,4,5,yes
Jerry Varghese,1/15/2017,Emirates,FALSE,Family Leisure,16-Jul,BHX to DXB,Economy Class,5,4,5,4,3,2,no
B Pearson,1/14/2017,Emirates,FALSE,Solo Leisure,16-Dec,BKK to DXB,Economy Class,3,3,1,4,3,6,yes
E Mehari,1/13/2017,Emirates,TRUE,Family Leisure,17-Jan,HYD to LHR via DXB,Economy Class,4,1,5,4,1,1,no
Francis Wong,1/11/2017,Emirates,FALSE,Solo Leisure,17-Jan,DUB to HKG via DXB,Business Class,1,5,4,4,4,9,yes
J Rathikala,1/9/2017,Emirates,FALSE,Solo Leisure,16-Dec,LGW to PER via DXB,Economy Class,4,5,5,4,3,3,yes
M Kane,1/8/2017,Emirates,FALSE,Solo Leisure,16-Dec,SEA to TRV via DXB,Economy Class,4,3,3,4,5,7,yes
Ron Henden,1/7/2017,Emirates,FALSE,Solo Leisure,17-Jan,LHR to MEL,First Class,4,3,1,2,5,9,yes
Smitha Prakash,1/7/2017,Emirates,FALSE,Family Leisure,17-Jan,ISB to BLQ via DXB,Economy Class,4,1,3,5,1,1,no
Andrei Steclaru,1/6/2017,Emirates,TRUE,Solo Leisure,16-Dec,BKK to HKG,Economy Class,2,1,5,5,1,1,no
Hira Syed,1/5/2017,Emirates,TRUE,Family Leisure,16-Dec,OTP to PER via ATH / DXB,Economy Class,5,2,5,5,1,1,no
C Tan,1/5/2017,Emirates,FALSE,Solo Leisure,17-Jan,CDG to KUL via DXB,Economy Class,1,1,3,3,2,2,no
B Sturge,1/5/2017,Emirates,FALSE,Couple Leisure,17-Jan,MLE to BHX via DXB,Economy Class,3,5,1,4,1,1,no
K Ruganta,1/4/2017,Emirates,TRUE,Family Leisure,16-Dec,NCL to BKK via DXB,Economy Class,1,5,4,1,4,1,no
Ishtiyaq Mahomed,1/3/2017,Emirates,TRUE,Couple Leisure,16-Dec,BHX to BKK via DXB,Economy Class,1,4,5,5,2,1,no
Lyn Kennedy,1/3/2017,Emirates,TRUE,Couple Leisure,16-Dec,BKK to LGW via DXB,Economy Class,1,5,5,5,5,4,yes
J Needham,1/2/2017,Emirates,TRUE,Solo Leisure,16-Nov,FCO to MEL via DXB,Economy Class,4,5,1,5,4,7,yes
Babette Versteegen,12/31/2016,Emirates,TRUE,Couple Leisure,16-Dec,ATH to CEB via DXB,Business Class,3,5,4,4,5,9,yes
Maurizio Scorrano,12/31/2016,Emirates,FALSE,Family Leisure,16-Dec,MAN to DXB,Economy Class,4,4,2,4,4,3,no
Emmanouil Makris,12/31/2016,Emirates,TRUE,Family Leisure,16-Dec,DXB to KWI,Economy Class,5,5,2,4,4,7,yes
Jimmy Jones,12/29/2016,Emirates,TRUE,Family Leisure,16-Aug,BOM to LHR via DXB,Business Class,3,4,2,5,4,5,yes
Mohammad Al-Adsani,12/27/2016,Emirates,FALSE,Solo Leisure,16-Dec,DXB to SGN,First Class,2,1,5,5,2,3,no
Rikki Gupta,12/26/2016,Emirates,TRUE,Couple Leisure,16-Nov,SFO to CCU via DXB,Business Class,4,4,2,4,3,6,no
Adele Malcolm,12/25/2016,Emirates,TRUE,Couple Leisure,16-Dec,JFK to MAA via DXB,Business Class,4,5,2,4,3,5,no
A Kanerjee,12/24/2016,Emirates,FALSE,Couple Leisure,16-Sep,SIN to JFK via DXB,Business Class,3,4,4,4,1,2,no
Karthikeyan Chidambaram,12/23/2016,Emirates,FALSE,Couple Leisure,16-Dec,LGW to BNE via DXB,Economy Class,2,2,5,5,4,4,no
